#No.   Fermi energy(eV)   SHC((hbar/e)*S/cm)
   1     8.337100    0.52000063E+02
   2     8.347100    0.54996143E+02
   3     8.357100    0.48316592E+02
   4     8.367100    0.48012143E+02
   5     8.377100    0.45943354E+02
   6     8.387100    0.45626737E+02
   7     8.397100    0.46006188E+02
   8     8.407100    0.46399604E+02
   9     8.417100    0.46456579E+02
  10     8.427100    0.45610080E+02
  11     8.437100    0.46395317E+02
  12     8.447100    0.43998610E+02
  13     8.457100    0.43975189E+02
  14     8.467100    0.42799937E+02
  15     8.477100    0.41240378E+02
  16     8.487100    0.40045542E+02
  17     8.497100    0.37623291E+02
  18     8.507100    0.37014615E+02
  19     8.517100    0.34279742E+02
  20     8.527100    0.32361818E+02
  21     8.537100    0.30642249E+02
  22     8.547100    0.28906919E+02
  23     8.557100    0.27837826E+02
  24     8.567100    0.26029902E+02
  25     8.577100    0.23669695E+02
  26     8.587100    0.19790671E+02
  27     8.597100    0.14194452E+02
  28     8.607100    0.10495881E+02
  29     8.617100    0.10333878E+02
  30     8.627100    0.10135990E+02
  31     8.637100    0.99451241E+01
  32     8.647100    0.97830206E+01
  33     8.657100    0.96586854E+01
  34     8.667100    0.94930674E+01
  35     8.677100    0.93958841E+01
  36     8.687100    0.92789467E+01
  37     8.697100    0.91609471E+01
  38     8.707100    0.90352679E+01
  39     8.717100    0.89320875E+01
  40     8.727100    0.88110291E+01
  41     8.737100    0.87070249E+01
  42     8.747100    0.86083050E+01
  43     8.757100    0.85334348E+01
  44     8.767100    0.84393874E+01
  45     8.777100    0.83902297E+01
  46     8.787100    0.83088989E+01
  47     8.797100    0.82029381E+01
  48     8.807100    0.81365276E+01
  49     8.817100    0.80698078E+01
  50     8.827100    0.79992780E+01
  51     8.837100    0.79543077E+01
  52     8.847100    0.78871264E+01
  53     8.857100    0.78676976E+01
  54     8.867100    0.78120976E+01
  55     8.877100    0.77375553E+01
  56     8.887100    0.77130622E+01
  57     8.897100    0.76830535E+01
  58     8.907100    0.76184914E+01
  59     8.917100    0.75716511E+01
  60     8.927100    0.75450098E+01
  61     8.937100    0.75195397E+01
  62     8.947100    0.74891404E+01
  63     8.957100    0.74687103E+01
  64     8.967100    0.74143620E+01
  65     8.977100    0.73996838E+01
  66     8.987100    0.73817524E+01
  67     8.997100    0.73635065E+01
  68     9.007100    0.73393526E+01
  69     9.017100    0.73190057E+01
  70     9.027100    0.73002220E+01
