#No.   Fermi energy(eV)   SHC((hbar/e)*S/cm)
   1     5.561700   -0.79322505E+02
   2     5.571700   -0.81606553E+02
   3     5.581700   -0.83973150E+02
   4     5.591700   -0.86035927E+02
   5     5.601700   -0.86403105E+02
   6     5.611700   -0.87262439E+02
   7     5.621700   -0.90016586E+02
   8     5.631700   -0.92509638E+02
   9     5.641700   -0.93669044E+02
  10     5.651700   -0.95008443E+02
  11     5.661700   -0.97463021E+02
  12     5.671700   -0.99628925E+02
  13     5.681700   -0.10171652E+03
  14     5.691700   -0.10235338E+03
  15     5.701700   -0.10364859E+03
  16     5.711700   -0.10554892E+03
  17     5.721700   -0.10797574E+03
  18     5.731700   -0.10838887E+03
  19     5.741700   -0.10931541E+03
  20     5.751700   -0.11125908E+03
  21     5.761700   -0.11350335E+03
  22     5.771700   -0.11396352E+03
  23     5.781700   -0.11543792E+03
  24     5.791700   -0.11600713E+03
  25     5.801700   -0.11873894E+03
  26     5.811700   -0.12108029E+03
  27     5.821700   -0.12210683E+03
  28     5.831700   -0.12314094E+03
  29     5.841700   -0.12409528E+03
  30     5.851700   -0.12598134E+03
  31     5.861700   -0.12744801E+03
  32     5.871700   -0.12838887E+03
  33     5.881700   -0.12940426E+03
  34     5.891700   -0.13018226E+03
  35     5.901700   -0.13255064E+03
  36     5.911700   -0.13383567E+03
  37     5.921700   -0.13555522E+03
  38     5.931700   -0.13775528E+03
  39     5.941700   -0.13791084E+03
  40     5.951700   -0.13848778E+03
  41     5.961700   -0.14135007E+03
  42     5.971700   -0.14269885E+03
  43     5.981700   -0.14404338E+03
  44     5.991700   -0.14603881E+03
  45     6.001700   -0.14541159E+03
  46     6.011700   -0.14834582E+03
  47     6.021700   -0.15012812E+03
  48     6.031700   -0.15166454E+03
  49     6.041700   -0.15148707E+03
  50     6.051700   -0.15317381E+03
  51     6.061700   -0.15542450E+03
  52     6.071700   -0.15689312E+03
  53     6.081700   -0.15918579E+03
  54     6.091700   -0.15969885E+03
  55     6.101700   -0.16242404E+03
